author,start,end,category
Dilthey,1833,1911,Philosophie XIXe-XXe
Brentano,1838,1917,Philosophie XIXe-XXe
Henry Sidgwick,1838,1900,Philosophie XIXe-XXe
Peirce,1839,1914,Philosophie XIXe-XXe
William James,1842,1910,Philosophie XIXe-XXe
Nietzsche,1844,1900,Philosophie XIXe-XXe
Francis Herbert Bradley,1846,1924,Philosophie XIXe-XXe
Frege,1848,1925,Philosophie analytique
Henri Poincaré,1854,1912,Épistémologues français
Freud,1856,1939,Philosophie XIXe-XXe
Durkheim,1858,1917,Philosophie française XXe
Simmel,1858,1918,Philosophie XIXe-XXe
Bergson,1859,1941,Philosophie française XXe
Dewey,1859,1952,Philosophie XIXe-XXe
Husserl,1859,1938,Philosophie XIXe-XXe
Alfred North Whitehead,1861,1947,Philosophie XIXe-XXe
Pierre Duhem,1861,1916,Épistémologues français
Max Weber,1864,1920,Philosophie XIXe-XXe
J. M. E. McTaggart,1866,1925,Philosophie analytique
Alain,1868,1951,Philosophie française XXe
Louis Couturat,1868,1914,Épistémologues français
W. E. B. Du Bois,1868,1963,Philosophie sociale et politique XXe
Marcel Mauss,1872,1950,Philosophie française XXe
Russell,1872,1970,Philosophie analytique
Ernst Cassirer,1874,1945,Philosophie XXe
Max Scheler,1874,1928,Philosophie XXe
W.D. Ross,1877,1971,Philosophie morale XXe
Hans Kelsen,1881,1973,Philosophie du droit
Jacques Maritain,1882,1973,Philosophie française XXe
Moritz Schlick,1882,1936,Philosophie analytique
Otto Neurath,1882,1945,Philosophie analytique
Karl Jaspers,1883,1969,Philosophie XXe
Bachelard,1884,1962,Épistémologues français
Ernst Bloch,1885,1977,Philosophie sociale et politique XXe
György Lukács,1885,1971,Philosophie sociale et politique XXe
Carl Schmitt,1888,1985,Philosophie sociale et politique XXe
Gabriel Marcel,1889,1973,Philosophie française XXe
Heidegger,1889,1976,Philosophie XXe
Wittgenstein,1889,1951,Philosophie analytique
Antonio Gramsci,1891,1937,Philosophie sociale et politique XXe
Carnap,1891,1970,Philosophie analytique
Erwin Straus,1891,1975,Philosophie XXe
Hans Reichenbach,1891,1953,Philosophie analytique
Alexandre Koyré,1892,1964,Philosophie française XXe
Walter Benjamin,1892,1940,Philosophie sociale et politique XXe
Jean Nicod,1893,1924,Épistémologues français
Max Horkheimer,1895,1973,Philosophie sociale et politique XXe
Friedrich Waismann,1896,1959,Philosophie analytique
Georges Bataille,1897,1962,Philosophie française XXe
Marcuse,1898,1979,Philosophie sociale et politique XXe
Robert Blanché,1898,1975,Épistémologues français
Hayek,1899,1992,Philosophie sociale et politique XXe
Leo Strauss,1899,1973,Philosophie sociale et politique XXe
Gilbert Ryle,1900,1976,Philosophie analytique
Hans-Georg Gadamer,1900,2002,Philosophie XXe
Alfred Tarski,1901,1983,Philosophie analytique
Ernest Nagel,1901,1985,Philosophie analytique
Karl Popper,1902,1994,Philosophie XXe
Frank P. Ramsey,1903,1930,Philosophie analytique
Hans Jonas,1903,1993,Philosophie XXe
Jean Cavaillès,1903,1944,Épistémologues français
Theodor W. Adorno,1903,1969,Philosophie sociale et politique XXe
Vladimir Jankélévitch,1903,1985,Philosophie française XXe
Georges Canguilhem,1904,1995,Épistémologues français
Carl Gustav Hempel,1905,1997,Philosophie analytique
Eugen Fink,1905,1975,Philosophie XXe
Jean-Paul Sartre,1905,1980,Philosophie française XXe
Raymond Aron,1905,1983,Philosophie française XXe
Emmanuel Levinas,1906,1995,Philosophie française XXe
Hannah Arendt,1906,1975,Philosophie sociale et politique XXe
Nelson Goodman,1906,1998,Philosophie analytique
H.L.A. Hart,1907,1992,Philosophie du droit
Claude Lévi-Strauss,1908,2009,Philosophie française XXe
Maurice Merleau-Ponty,1908,1961,Philosophie française XXe
Simone de Beauvoir,1908,1986,Philosophie française XXe
Willard Van Orman Quine,1908,2000,Philosophie analytique
Isaiah Berlin,1909,1997,Philosophie sociale et politique XXe
Simone Weil,1909,1943,Philosophie française XXe
A.J. Ayer,1910,1989,Philosophie analytique
Jeanne Hersch,1910,2000,Philosophie française XXe
Mikel Dufrenne,1910,1995,Philosophie française XXe
J.L. Austin,1911,1960,Philosophie analytique
Wilfrid Sellars,1912,1989,Philosophie analytique
Albert Camus,1913,1960,Philosophie française XXe
Paul Ricœur,1913,2005,Philosophie française XXe
Jean-Toussaint Desanti,1914,2002,Épistémologues français
Roland Barthes,1915,1980,Philosophie française XXe
Peter Geach,1916,2013,Philosophie analytique
Donald Davidson,1917,2003,Philosophie analytique
J. L. Mackie,1917,1981,Philosophie analytique
Louis Althusser,1918,1990,Philosophie française XXe
Elizabeth Anscombe,1919,2001,Philosophie analytique
Iris Murdoch,1919,1999,Philosophie XXe
P. F. Strawson,1919,2006,Philosophie analytique
R. M. Hare,1919,2002,Philosophie analytique
Gilles Gaston Granger,1920,2016,Épistémologues français
J. J. C. Smart,1920,2012,Philosophie analytique
